0,"Solviva Friskvård","1432459","","Visby","","/Visby/Solviva_Friskv%C3%A5rd/1432459","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kittelgatan+7%2c+62153%2c+VISBY%2c+Sweden"
1,"Solvo","494111","021-33 06 66","Västerås","","/V%C3%A4ster%C3%A5s/Solvo/494111","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sl%c3%a4ggkastargatan+8%2c+72241%2c+V%c3%84STER%c3%85S%2c+Sweden"
2,"Solvo VVS-Konsult","956260","0302-302 65","Floda","","/Floda/Solvo_VVS_Konsult/956260","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gamla+Kyrkv%c3%a4gen+3+D%2c+44831%2c+FLODA%2c+Sweden"
3,"Solvold Linda Merete","2046163","0581-300 36","Frövi","","/Fr%C3%B6vi/Solvold_Linda_Merete/2046163","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Centralv%c3%a4gen+62%2c+71830%2c+FR%c3%96VI%2c+Sweden"
4,"Solvones Hjärterum","872866","","Bräcke","","/Br%C3%A4cke/Solvones_Hj%C3%A4rterum/872866","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%a4nsgatan+24+A%2c+84060%2c+BR%c3%84CKE%2c+Sweden"
5,"Solvum Fond & Försäkring AB","1780666","","Vallentuna","","/Vallentuna/Solvum_Fond__F%C3%B6rs%C3%A4kring_AB/1780666","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svampskogsv%c3%a4gen+74%2c+18655%2c+VALLENTUNA%2c+Sweden"
6,"Solvus","503838","018-60 20 30","Uppsala","","/Uppsala/Solvus/503838","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+7+B%2c+75331%2c+UPPSALA%2c+Sweden"
7,"Solweig Backlund Utbildning","2575820","018-50 24 67","Uppsala","","/Uppsala/Solweig_Backlund_Utbildning/2575820","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Luthagsesplanaden+25%2c+75225%2c+UPPSALA%2c+Sweden"
8,"Solweig Borgman Konsult AB","2568704","","Järfälla","","/J%C3%A4rf%C3%A4lla/Solweig_Borgman_Konsult_AB/2568704","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Enk%c3%b6pingsv%c3%a4gen+264%2c+17676%2c+J%c3%84RF%c3%84LLA%2c+Sweden"
9,"Solweig Linde Dans-Psykoterapi","335092","","Stockholm","","/Stockholm/Solweig_Linde_Dans_Psykoterapi/335092","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norrtullsgatan+12+B%2c+11327%2c+STOCKHOLM%2c+Sweden"
